timestamp,cpu,ram,disco,qtd_processos,mac
2025-10-24_09-37-34,24.3,81.5,55.2,278,276246685787227
2025-10-24_09-35-38,4.2,78.8,55.2,275,276246685787227
2025-10-24_09-35-58,10.6,78.5,55.2,276,276246685787227
2025-10-24_09-36-17,6.3,78.5,55.2,278,276246685787227
2025-10-24_09-36-36,6.7,78.2,55.2,278,276246685787227
2025-10-24_09-36-55,11.0,78.6,55.2,279,276246685787227
2025-10-24_09-37-14,8.6,78.2,55.2,278,276246685787227
2025-10-24_09-37-34,24.3,81.5,55.2,278,276246685787227
2025-10-24_09-37-59,11.9,81.5,55.2,276,276246685787227
2025-10-24_09-35-38,4.2,78.8,55.2,275,276246685787227
2025-10-24_09-35-58,10.6,78.5,55.2,276,276246685787227
2025-10-24_09-36-17,6.3,78.5,55.2,278,276246685787227
2025-10-24_09-36-36,6.7,78.2,55.2,278,276246685787227
2025-10-24_09-36-55,11.0,78.6,55.2,279,276246685787227
2025-10-24_09-37-14,8.6,78.2,55.2,278,276246685787227
2025-10-24_09-37-34,24.3,81.5,55.2,278,276246685787227
2025-10-24_09-37-59,11.9,81.5,55.2,276,276246685787227
2025-10-24_09-38-18,14.9,81.3,55.2,273,276246685787227
2025-10-24_09-35-38,4.2,78.8,55.2,275,276246685787227
2025-10-24_09-35-58,10.6,78.5,55.2,276,276246685787227
2025-10-24_09-36-17,6.3,78.5,55.2,278,276246685787227
2025-10-24_09-36-36,6.7,78.2,55.2,278,276246685787227
2025-10-24_09-36-55,11.0,78.6,55.2,279,276246685787227
2025-10-24_09-37-14,8.6,78.2,55.2,278,276246685787227
2025-10-24_09-37-34,24.3,81.5,55.2,278,276246685787227
2025-10-24_09-37-59,11.9,81.5,55.2,276,276246685787227
2025-10-24_09-38-18,14.9,81.3,55.2,273,276246685787227
2025-10-24_09-38-38,20.6,82.4,55.2,279,276246685787227
2025-10-24_09-35-38,4.2,78.8,55.2,275,276246685787227
2025-10-24_09-35-58,10.6,78.5,55.2,276,276246685787227
2025-10-24_09-36-17,6.3,78.5,55.2,278,276246685787227
2025-10-24_09-36-36,6.7,78.2,55.2,278,276246685787227
2025-10-24_09-36-55,11.0,78.6,55.2,279,276246685787227
